epoch,train_loss,lr,seconds,map,precision,recall,f1,valid_output_rate,mean_inference_seconds,peak_memory_mib
1,4.742251308229235,0.0,136.90479550600003,0.0037715450478916523,0.11320754716981132,0.017094017094017096,0.029702970297029705,1.0,0.5567201458800173,1228.0
10,2.080814078119066,1.0531220876048462e-05,98.08379287699972,0.3193889975196285,0.5520282186948854,0.4458689458689459,0.49330181245074867,1.0,0.1577558534399941,705.5
2,2.9965131073527864,9.478098788443617e-05,88.67955377099997,0.0565278275717268,0.23658051689860835,0.16951566951566951,0.1975103734439834,1.0,0.15328278080000474,720.3
3,2.4980344457096524,8.42497670083877e-05,87.12726792700005,0.15908441915132918,0.36666666666666664,0.28205128205128205,0.31884057971014496,1.0,0.15191680604999874,709.0
4,2.3302569856908586,7.371854613233924e-05,87.13345913100011,0.16983476449031146,0.40236686390532544,0.2905982905982906,0.337468982630273,1.0,0.15249617677000515,705.8
5,2.243770311805937,6.318732525629078e-05,87.96179933699977,0.24342479687266097,0.4524647887323944,0.3660968660968661,0.4047244094488189,1.0,0.15933137342001827,704.5
6,2.1889831847614714,5.265610438024231e-05,91.80885943099975,0.2802383117421286,0.5255198487712666,0.396011396011396,0.4516653127538587,1.0,0.16894514043998243,703.0
7,2.1510938370227812,4.212488350419385e-05,92.67917142199985,0.28500507138067344,0.518783542039356,0.4131054131054131,0.4599524187153053,1.0,0.1637289303000216,704.3
8,2.1213008064693875,3.159366262814539e-05,95.98735850699995,0.29332077485926256,0.5346715328467153,0.41737891737891736,0.4688,1.0,0.1649982267899759,704.5
9,2.1039717243777383,2.1062441752096924e-05,98.27730907500018,0.3382559312127779,0.5714285714285714,0.46153846153846156,0.5106382978723405,1.0,0.15988051882000037,706.2
11,2.072346184518602,9.333333333333334e-06,91.000019436,0.34142222234949154,0.5767857142857142,0.4601139601139601,0.5118858954041204,1.0,0.1545420714699867,706.2
12,2.065488840341568,8.666666666666668e-06,88.76305146400045,0.3292492567280043,0.5573192239858906,0.45014245014245013,0.4980299448384554,1.0,0.15751430044999323,702.3
13,2.0629309107197655,8.000000000000001e-06,89.09534927100049,0.32245060402824827,0.5499124343257443,0.4472934472934473,0.4933228593872742,1.0,0.15933429657999112,705.5
14,2.0543078600035773,7.333333333333333e-06,88.50933759800046,0.33304643286148977,0.5748175182481752,0.44871794871794873,0.504,1.0,0.15358386723998593,702.3
15,2.0525054947535195,6.666666666666667e-06,89.10607243699997,0.3361405595165206,0.5651408450704225,0.45726495726495725,0.5055118110236221,1.0,0.15845264535998468,702.3
